wheelbase,enginesize,boreratio,citympg,highwaympg,price,M3 size,powerweightratio,carbody,enginelocation,enginetype,Model
88.6,130,3.47,21,27,13495.0,528019.904,0.04356357927786499,convertible,front,others,alfa-romero
88.6,130,3.47,21,27,16500.0,528019.904,0.04356357927786499,convertible,front,others,alfa-romero
94.5,152,2.68,19,26,16500.0,587592.6399999999,0.05455189514700673,hatchback,front,others,alfa-romero
99.8,109,3.19,24,30,13950.0,634816.956,0.043645699614890884,sedan,front,ohc,audi
99.4,136,3.19,18,22,17450.0,636734.8319999999,0.04072237960339943,sedan,front,ohc,audi
99.8,136,3.19,19,25,15250.0,624189.969,0.043877143996808934,sedan,front,ohc,audi
105.8,136,3.19,19,25,17710.0,766364.0460000001,0.03867791842475387,sedan,front,ohc,audi
105.8,136,3.19,19,25,18920.0,766364.0460000001,0.037237643872714964,wagon,front,ohc,audi
105.8,131,3.13,17,20,23875.0,769115.802,0.04536616979909268,sedan,front,ohc,audi
99.5,131,3.13,16,22,17859.167,629188.56,0.05240746806419915,hatchback,front,ohc,audi
101.2,108,3.5,23,29,16430.0,622095.5519999999,0.042171189979123176,sedan,front,ohc,bmw
101.2,108,3.5,23,29,16925.0,622095.5519999999,0.042171189979123176,sedan,front,ohc,bmw
101.2,164,3.31,21,28,20970.0,622095.5519999999,0.044649446494464944,sedan,front,ohc,bmw
101.2,164,3.31,21,28,21105.0,622095.5519999999,0.04376130198915009,sedan,front,ohc,bmw
103.5,164,3.31,20,25,24565.0,704276.3700000001,0.03960720130932897,sedan,front,ohc,bmw
103.5,209,3.62,16,22,30760.0,704276.3700000001,0.056346749226006194,sedan,front,ohc,bmw
103.5,209,3.62,16,22,41315.0,706639.3740000002,0.05384615384615385,sedan,front,ohc,bmw
110.0,209,3.62,15,20,36880.0,786358.99,0.051925820256776035,sedan,front,ohc,bmw
88.4,61,2.91,47,53,5151.0,452643.156,0.03225806451612903,hatchback,front,others,chevrolet
94.5,90,3.03,38,43,6295.0,515592.48,0.03735325506937033,hatchback,front,ohc,chevrolet
94.5,90,3.03,38,43,6575.0,525183.36,0.03666841278156103,sedan,front,ohc,chevrolet
93.7,90,2.97,37,41,5572.0,509815.59199999995,0.03624733475479744,hatchback,front,ohc,dodge
93.7,90,2.97,31,38,6377.0,509815.59199999995,0.03624733475479744,hatchback,front,ohc,dodge
93.7,98,3.03,24,30,7957.0,509815.59199999995,0.047932330827067667,hatchback,front,ohc,dodge
93.7,90,2.97,31,38,6229.0,507808.444,0.03457041179461108,hatchback,front,ohc,dodge
93.7,90,2.97,31,38,6692.0,507808.444,0.03418803418803419,sedan,front,ohc,dodge
93.7,90,2.97,31,38,7609.0,507808.444,0.03418803418803419,sedan,front,ohc,dodge
93.7,98,3.03,24,30,8558.0,507808.444,0.04655408489274304,sedan,front,ohc,dodge
103.3,122,3.34,24,30,8921.0,674493.7679999998,0.03471400394477318,wagon,front,ohc,dodge
95.9,156,3.6,19,24,12964.0,576454.632,0.05158306652436855,hatchback,front,ohc,dodge
86.6,92,2.91,49,54,6479.0,469388.95199999993,0.033858727378867484,hatchback,front,ohc,honda
86.6,92,2.91,31,38,6855.0,469388.95199999993,0.04178119846069269,hatchback,front,ohc,honda
93.7,79,2.91,38,42,5399.0,504960.0,0.0326619488296135,hatchback,front,ohc,honda
93.7,92,2.91,30,34,6529.0,504960.0,0.03917525773195876,hatchback,front,ohc,honda
93.7,92,2.91,30,34,7129.0,504960.0,0.03885480572597137,hatchback,front,ohc,honda
96.5,92,2.91,30,34,7295.0,569939.2000000001,0.03781094527363184,sedan,front,ohc,honda
96.5,92,2.92,30,34,7295.0,585255.6269999999,0.037549407114624504,wagon,front,ohc,honda
96.5,110,3.15,27,33,7895.0,582089.2999999999,0.038461538461538464,hatchback,front,ohc,honda
96.5,110,3.15,27,33,9095.0,582089.2999999999,0.037570991699432066,hatchback,front,ohc,honda
96.5,110,3.15,27,33,8845.0,618691.9280000001,0.03732638888888889,sedan,front,ohc,honda
96.5,110,3.15,27,33,10295.0,593071.25,0.03625632377740304,sedan,front,ohc,honda
96.5,110,3.15,24,28,12945.0,618691.9280000001,0.040973630831643,sedan,front,ohc,honda
96.5,110,3.15,25,31,10345.0,569190.6,0.043610989969472304,sedan,front,ohc,honda
94.3,111,3.31,24,29,6785.0,564385.4099999999,0.03337612323491656,sedan,front,ohc,isuzu
94.5,90,3.03,38,43,8916.5,515592.48,0.03735325506937033,sedan,front,ohc,isuzu
94.5,90,3.03,38,43,8916.5,515592.48,0.03666841278156103,sedan,front,ohc,isuzu
96.0,119,3.43,24,29,11048.0,578430.928,0.03291880029261156,hatchback,front,ohc,isuzu
113.0,258,3.63,15,19,32250.0,733506.0479999998,0.04328578455484506,sedan,front,others,jaguar
113.0,258,3.63,15,19,35550.0,733506.0479999998,0.04328578455484506,sedan,front,others,jaguar
102.0,326,3.54,13,17,36000.0,646926.1559999998,0.06632911392405064,sedan,front,others,jaguar
93.1,91,3.03,30,31,5195.0,552589.302,0.03597883597883598,hatchback,front,ohc,mazda
93.1,91,3.03,31,38,6095.0,552589.302,0.035789473684210524,hatchback,front,ohc,mazda
93.1,91,3.03,31,38,6795.0,552589.302,0.03569553805774278,hatchback,front,ohc,mazda
93.1,91,3.03,31,38,6695.0,579333.0960000001,0.03496143958868895,sedan,front,ohc,mazda
93.1,91,3.08,31,38,7395.0,579333.0960000001,0.03487179487179487,sedan,front,ohc,mazda
95.3,70,3.33,17,23,10945.0,550723.68,0.04243697478991597,hatchback,front,others,mazda
95.3,70,3.33,17,23,11845.0,550723.68,0.04243697478991597,hatchback,front,others,mazda
95.3,70,3.33,17,23,13645.0,550723.68,0.042348008385744235,hatchback,front,others,mazda
95.3,80,3.33,16,23,15645.0,550723.68,0.054,hatchback,front,others,mazda
98.8,122,3.39,26,32,8845.0,634932.6900000001,0.03522012578616352,hatchback,front,ohc,mazda
98.8,122,3.39,26,32,8495.0,656215.3500000001,0.034854771784232366,sedan,front,ohc,mazda
98.8,122,3.39,26,32,10595.0,634932.6900000001,0.03522012578616352,hatchback,front,ohc,mazda
98.8,122,3.39,26,32,10245.0,656215.3500000001,0.034854771784232366,sedan,front,ohc,mazda
98.8,122,3.39,36,42,10795.0,656215.3500000001,0.026197298403602128,sedan,front,ohc,mazda
98.8,122,3.39,26,32,11245.0,656215.3500000001,0.03463917525773196,hatchback,front,ohc,mazda
104.9,140,3.76,19,27,18280.0,629271.9999999999,0.0449438202247191,sedan,front,ohc,mazda
104.9,134,3.43,31,39,18344.0,629271.9999999999,0.02666666666666667,sedan,front,ohc,mazda
110.0,183,3.58,22,25,25552.0,758245.255,0.03499288762446657,sedan,front,ohc,buick
110.0,183,3.58,22,25,28248.0,787769.849,0.0328,wagon,front,ohc,buick
106.7,183,3.58,22,25,28176.0,723650.625,0.0351931330472103,hardtop,front,ohc,buick
115.6,183,3.58,22,25,31600.0,817837.446,0.03262599469496021,sedan,front,ohc,buick
115.6,234,3.46,16,18,34184.0,820742.73,0.04144385026737968,sedan,front,others,buick
96.6,234,3.46,16,18,35056.0,645726.42,0.04206241519674356,convertible,front,others,buick
120.9,308,3.8,14,16,40960.0,846007.6590000001,0.04717948717948718,sedan,front,others,buick
112.0,304,3.8,14,16,45400.0,794568.96,0.04952893674293405,hardtop,front,others,buick
102.7,140,3.78,19,24,16503.0,664789.76,0.06013745704467354,hatchback,front,ohc,mercury
93.7,92,2.97,37,41,5389.0,514610.096,0.035453597497393116,hatchback,front,ohc,mitsubishi
93.7,92,2.97,31,38,6189.0,514610.096,0.03497942386831276,hatchback,front,ohc,mitsubishi
93.7,92,2.97,31,38,6669.0,514610.096,0.033932135728542916,hatchback,front,ohc,mitsubishi
93.0,98,3.03,24,30,7689.0,509815.59199999995,0.04755244755244755,hatchback,front,ohc,mitsubishi
96.3,110,3.17,23,30,9959.0,558921.48,0.048945147679324896,hatchback,front,ohc,mitsubishi
96.3,122,3.35,25,32,8499.0,558921.48,0.037800687285223365,hatchback,front,ohc,mitsubishi
95.9,156,3.58,19,24,12629.0,576454.632,0.05118249205788916,hatchback,front,ohc,mitsubishi
95.9,156,3.59,19,24,14869.0,576454.632,0.04964053406367682,hatchback,front,ohc,mitsubishi
95.9,156,3.59,19,24,14489.0,576454.632,0.04955570745044429,hatchback,front,ohc,mitsubishi
96.3,122,3.35,25,32,6989.0,581787.9360000001,0.037209302325581395,sedan,front,ohc,mitsubishi
96.3,122,3.35,25,32,8189.0,581787.9360000001,0.03659043659043659,sedan,front,ohc,mitsubishi
96.3,110,3.17,23,30,9279.0,581787.9360000001,0.04827299209321681,sedan,front,ohc,mitsubishi
96.3,110,3.17,23,30,9279.0,581787.9360000001,0.04827299209321681,sedan,front,ohc,mitsubishi
94.5,97,3.15,31,37,5499.0,574764.63,0.036527263102170464,sedan,front,ohc,nissan
94.5,103,2.99,45,50,7099.0,574764.63,0.027268220128904314,sedan,front,ohc,nissan
94.5,97,3.15,31,37,6649.0,574764.63,0.03597497393117831,sedan,front,ohc,nissan
94.5,97,3.15,31,37,6849.0,574764.63,0.03560371517027864,sedan,front,ohc,nissan
94.5,97,3.15,31,37,7349.0,580943.6599999999,0.03409090909090909,wagon,front,ohc,nissan
94.5,97,3.15,31,37,7299.0,574764.63,0.035366478728856995,sedan,front,ohc,nissan
94.5,97,3.15,31,37,7799.0,563129.4239999999,0.034023668639053255,hatchback,front,ohc,nissan
94.5,97,3.15,31,37,7499.0,574764.63,0.0350076103500761,sedan,front,ohc,nissan
94.5,97,3.15,31,37,7999.0,580943.6599999999,0.033873343151693665,wagon,front,ohc,nissan
